127.0.0.1 - - [06/May/2020:03:05:52 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/May/2020:03:05:55 +0530] "GET /HealthCare/patients.jsp HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [06/May/2020:03:05:55 +0530] "GET /HealthCare/Component/jquery-3.5.0.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [06/May/2020:03:05:55 +0530] "GET /HealthCare/Component/patients.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/May/2020:03:05:55 +0530] "GET /HealthCare/Views/css/bootstrap.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:38 +0530] "GET /HealthCare/patients.jsp HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:38 +0530] "GET /HealthCare/Views/css/bootstrap.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:38 +0530] "GET /HealthCare/Component/jquery-3.5.0.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:38 +0530] "GET /HealthCare/Component/patients.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:59 +0530] "GET /HealthCare/patients.jsp HTTP/1.1" 200 4290
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:59 +0530] "GET /HealthCare/Views/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:59 +0530] "GET /HealthCare/Component/jquery-3.5.0.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [06/May/2020:03:07:59 +0530] "GET /HealthCare/Component/patients.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [06/May/2020:03:08:27 +0530] "GET /HealthCare/patients.jsp HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [06/May/2020:03:08:27 +0530] "GET /HealthCare/Views/bootstrap.min.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [06/May/2020:03:08:27 +0530] "GET /HealthCare/Component/patient.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [06/May/2020:03:08:27 +0530] "GET /HealthCare/Component/jquery-3.5.0.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [06/May/2020:03:11:12 +0530] "GET /HealthCare/patients.jsp HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [06/May/2020:03:11:12 +0530] "GET /HealthCare/Views/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [06/May/2020:03:11:12 +0530] "GET /HealthCare/Component/jquery-3.5.0.min.js HTTP/1.1" 200 89493
0:0:0:0:0:0:0:1 - - [06/May/2020:03:11:12 +0530] "GET /HealthCare/Component/patient.js HTTP/1.1" 404 1113
